Point Cloud Visibility
87
Visibility for camera IMG_20241230_135636.jpg
689
651 2241.06 787.372
653 2180.82 1102.79
654 2254.34 802.653
656 2272.81 728.068
657 2290.39 686.898
658 2223.8 1086.86
659 2297.9 646.974
660 2300.66 648.773
661 2300.66 648.773
662 2311.44 680.01
663 2312.75 673.649
664 2320.26 658.115
667 2324.93 731.558
670 2342.14 647.933
672 2344.22 738.372
673 2344.22 738.372
674 2366.81 662.259
675 2323.1 1143.65
676 2408.8 624.546
679 2464.93 619.023
680 2391.9 1132.24
681 2390.56 1189.26
682 2422.87 1087.48
683 2441.96 1129.94
684 2432.17 1215.11
687 2579.8 686.641
689 18.398 543.685
690 20.4986 570.636
691 33.2237 614.394
692 43.2952 558.383
693 46.0047 550.687
694 49.4433 595.16
695 50.149 769.456
696 50.7746 563.199
697 50.8218 438.509
698 51.2907 579.461
699 52.9172 700.532
700 54.2487 717.83
701 57.6324 531.389
702 58.8553 571.226
703 59.4897 517.026
704 60.7973 741.882
705 61.8908 629.549
706 63.5384 493.983
707 74.5994 562.432
708 85.7849 695.034
709 88.562 511.435
710 95.26 763.901
711 109.02 676.276
712 109.081 602.215
713 137.814 527.761
714 166.222 500.61
715 180.952 469.803
716 182.357 564.262
717 202.115 669.642
718 264.937 817.142
719 268.582 481.393
720 375.475 355.911
721 407.36 597.513
722 414.469 555.206
723 458.409 450.016
724 472.302 529.711
725 472.477 455.558
726 472.477 455.558
727 499.322 541.005
728 508.469 473.584
729 508.931 634.506
730 541.545 447.272
731 545.12 975.456
732 567.725 655.799
733 578.113 743.918
734 591.134 445.101
735 591.682 506.689
736 595.993 418.743
737 604.726 634.982
738 606.58 519.434
739 609.077 519.04
740 609.077 519.04
741 613.759 425.272
742 613.759 425.272
743 619.24 434.949
744 620.322 646.309
745 623.782 668.653
746 628.909 631.106
747 636.676 665.014
748 637.5 507.329
749 652.946 773.16
750 660.391 469.913
751 662.977 570.84
752 663.954 363.079
753 665.853 503.673
754 666.969 465.92
755 669.036 618.354
756 669.836 428.075
757 677.985 414.538
758 682.559 739.094
759 694.428 665.373
760 698.04 684.1
761 698.877 463.925
762 698.964 464.298
763 698.964 464.298
764 699.41 613.541
765 706.244 519.83
766 707.434 805.624
767 711.141 577.214
768 711.141 577.214
769 712.367 444.861
770 712.367 444.861
771 719.693 724.035
772 721.309 513.352
773 730.107 426.91
774 731.608 556.11
775 737.62 457.855
776 743.343 522.234
777 747.603 573.655
778 752.566 509.219
779 754.326 554.368
780 764.185 653.736
781 767.443 648.002
782 767.646 584.549
783 784.666 782.935
784 799.99 533.449
785 801.724 563.267
786 801.724 563.267
787 802.973 487.539
788 821.834 731.837
789 828.012 661.061
790 831.907 655.608
791 835.852 744.307
792 836.351 703.768
793 839.532 643.042
794 854.739 491.699
795 859.896 520.247
796 893.944 670.976
797 896.043 457.377
798 896.043 457.377
799 912.389 576.167
800 915.082 885.425
801 917.9 637.341
802 935.081 496.897
803 935.081 496.897
804 942.498 611.56
805 976.819 407.699
806 979.115 388.294
807 990.507 536.063
808 990.507 536.063
809 997.869 728.22
810 1031.72 830.411
811 1085.77 662.084
812 1085.77 662.084
813 1114.52 1000.25
814 1126.84 492.668
815 1166.65 728.809
816 1170.04 713.276
817 1251.31 483.29
818 1295.69 835.052
819 1295.81 652.823
820 1301.9 736.552
821 1311 765.661
822 1320.59 605.045
823 1340.39 831.918
824 1346.02 666.98
825 1377.28 799.923
826 1391.55 709.895
827 1402.37 793.467
828 1540.1 708.108
829 1540.1 708.108
830 1580.11 851.502
831 1591.13 648.59
832 1623.1 623.191
833 1631.7 792.089
834 1648.91 698.116
835 1656.05 601.792
836 1667.65 641.523
837 1683.05 723.225
